Comment,Designator,Footprint,LCSC
100n,"C1,C4",C_0603_1608Metric,C14663
10u,"C2,C5",C_0805_2012Metric,C15850
Connector_USB_C_Receptacle_USB2.0,J3,USB-C_SMD-TYPE-C-31-M-12,C165948
10n,C3,C_0805_2012Metric,C1710
1M,R1,R_0603_1608Metric,C22935
1473005-4,CN1,DIMM-SMD_DM-7D4-H2500-M,C483268
AMS1117-3.3,U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186
JK-NSMD050-30V,F1,F1206,C720075
2A,FB1,L_1206_3216Metric,C73732
V20171120,N2,Label_version,
Conn_02x32_Odd_Even,J1,PinHeader_2x32_P2.54mm_Vertical,
Conn_02x32_Odd_Even,J2,PinHeader_2x32_P2.54mm_Vertical,
Conn_01x01_Male,J4-GND1,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x14_Male,J4,PinHeader_1x14_P1.00mm_Vertical,
Conn_01x14_Male,J5,PinHeader_1x14_P1.00mm_Vertical,
